FID,OBJECTID,Complaint_,Latitude,Longitude,Hour_,ntaname
2008,3596,Noise - Street/Sidewalk,40.76444374,-73.97745952,10AM,Midtown-Midtown South
2009,3598,Noise - Street/Sidewalk,40.74985425,-73.98793822,3PM,Midtown-Midtown South
2010,3643,Noise - Street/Sidewalk,40.76011649,-73.98483562,4PM,Midtown-Midtown South
2014,3715,Noise - Street/Sidewalk,40.76079439,-73.98451059,3PM,Midtown-Midtown South
2016,3724,Noise - Street/Sidewalk,40.76062148,-73.98458282,3PM,Midtown-Midtown South
2017,3734,Noise - Street/Sidewalk,40.76546009,-73.98198973,1PM,Midtown-Midtown South
2031,4089,Noise - Street/Sidewalk,40.74600385,-73.99426178,9AM,Midtown-Midtown South
2032,4122,Noise - Street/Sidewalk,40.76034977,-73.98471284,2PM,Midtown-Midtown South
2034,4124,Noise - Street/Sidewalk,40.76011649,-73.98483562,1PM,Midtown-Midtown South
2042,4236,Noise - Street/Sidewalk,40.75688343,-73.98688657,5AM,Midtown-Midtown South
2043,4250,Noise - Street/Sidewalk,40.7598283,-73.98493315,4PM,Midtown-Midtown South
2045,4272,Noise - Street/Sidewalk,40.74541914,-73.99285436,9AM,Midtown-Midtown South
2049,4351,Noise - Street/Sidewalk,40.75360622,-73.98708934,12PM,Midtown-Midtown South
2052,4390,Noise - Street/Sidewalk,40.7475958,-73.99418585,4AM,Midtown-Midtown South
2071,4619,Noise - Street/Sidewalk,40.76011649,-73.98483562,12PM,Midtown-Midtown South
2074,4658,Noise - Street/Sidewalk,40.76157383,-73.98396172,5PM,Midtown-Midtown South
2076,4691,Noise - Street/Sidewalk,40.76079439,-73.98451059,1PM,Midtown-Midtown South
2077,4724,Noise - Street/Sidewalk,40.76105786,-73.98433004,5PM,Midtown-Midtown South
2088,4888,Noise - Street/Sidewalk,40.74978836,-73.9877686,9PM,Midtown-Midtown South
2139,321,Noise - Street/Sidewalk,40.73598792,-73.98945626,6PM,Hudson Yards-Chelsea-Flatiron-Union Square
2172,770,Noise - Street/Sidewalk,40.76012292,-73.99667546,2AM,Hudson Yards-Chelsea-Flatiron-Union Square
2183,1010,Noise - Street/Sidewalk,40.74991793,-73.99588556,6PM,Hudson Yards-Chelsea-Flatiron-Union Square
2191,1142,Noise - Street/Sidewalk,40.74350339,-73.99422591,11PM,Hudson Yards-Chelsea-Flatiron-Union Square
2194,1165,Noise - Street/Sidewalk,40.73713256,-73.99032932,12PM,Hudson Yards-Chelsea-Flatiron-Union Square
2212,1373,Noise - Street/Sidewalk,40.73713256,-73.99032932,1PM,Hudson Yards-Chelsea-Flatiron-Union Square
2215,1397,Noise - Street/Sidewalk,40.73723136,-73.99028961,1PM,Hudson Yards-Chelsea-Flatiron-Union Square
